barcode,medicine_id
8680008010564,MED711
8680008090009,MED1112
8680080000316,MED678
8680080000354,MED678
8680080000545,MED405
8680131751570,MED892
8680131752348,MED892
8680131752416,MED892
8680131757022,MED892
8680131757039,MED892
8680131757046,MED892
8680131757268,MED606
8680131757336,MED892
8680131757442,MED892
8680131758296,MED892
8680133003080,MED862
8680133003134,MED486
8680133003141,MED862
8680133003356,MED888
8680133003363,MED888
8680133003370,MED888
8680133003387,MED888
8680150010030,MED922
8680150090025,MED410
8680150090193,MED468
8680150090209,MED401
8680150090247,MED401
8680150150026,MED914
8680150240055,MED935
8680150240062,MED931
8680150240079,MED931
8680150570039,MED914
8680150570046,MED914
8680150570060,MED588
8680150570138,MED345
8680150570169,MED875
8680150570268,MED170
8680150650120,MED956
8680150700030,MED410
8680150700061,MED346
8680150700078,MED409
8680184520208,MED649
8680184520215,MED649
8680184790106,MED806
8680184790144,MED790
8680186490264,MED890
8680186490318,MED1110
8680186490387,MED970
8680186490486,MED890
8680186490769,MED879
8680186490868,MED912
8680199001877,MED804
8680199007428,MED869
8680199007862,MED1103
8680199007879,MED1103
8680199008753,MED951
8680199011845,MED268
8680199013092,MED490
8680199013498,MED656
8680199019445,MED560
8680199021073,MED569
8680199021615,MED884
8680199027235,MED610
8680199090024,MED1113
8680199090772,MED651
8680199090987,MED651
8680199093490,MED652
8680199094282,MED884
8680199094640,MED988
8680199152005,MED381
8680199152449,MED380
8680199152654,MED381
8680199153026,MED329
8680199153033,MED329
8680199154986,MED833
8680199166101,MED792
8680199193220,MED884
8680199193503,MED884
8680199197846,MED838
8680199540680,MED561
8680199540697,MED562
8680199544091,MED549
8680199546019,MED549
8680199547580,MED561
8680199571486,MED501
8680199572780,MED492
8680199594393,MED884
8680199597172,MED838
8680199599701,MED884
8680199612639,MED907
8680199652840,MED885
8680199705379,MED373
8680199705386,MED373
8680199753622,MED653
8680199799941,MED382
8680202600059,MED924
8680202600134,MED822
8680202600172,MED359
8680202600219,MED826
8680202600226,MED826
8680202600233,MED826
8680222750321,MED408
8680222750420,MED376
8680222790129,MED801
8680265010000,MED878
8680352001041,MED572
8680381900209,MED398
8680381900216,MED827
8680381900247,MED158
8680400770547,MED963
8680400770677,MED983
8680400770813,MED881
8680400770820,MED881
8680400770837,MED372
8680400770943,MED367
8680400772350,MED946
8680712270223,MED673
8680712270230,MED673
8680712270247,MED673
8680712270254,MED673
8680712750060,MED599
8680712790097,MED800
8680712790158,MED741
8680741520269,MED623
8680741520917,MED635
8680741520924,MED635
8680741521181,MED623
8680741521358,MED632
8680741521365,MED632
8680741551157,MED615
8680741551164,MED615
8680760010178,MED151
8680760010246,MED244
8680760010598,MED609
8680760010697,MED312
8680760040021,MED797
8680760090569,MED845
8680760091047,MED571
8680760091832,MED440
8680760092006,MED634
8680760092136,MED034
8680760092174,MED680
8680760092181,MED680
8680760092235,MED033
8680760092495,MED680
8680760120037,MED400
8680760150263,MED375
8680760150270,MED616
8680760150287,MED616
8680760150294,MED616
8680760350076,MED1146
8680760350083,MED183
8680760370012,MED1146
8680760480018,MED183
8680760490017,MED1146
8680760510098,MED907
8680760540132,MED544
8680760570016,MED571
8680760570023,MED510
8680760570092,MED510
8680760570153,MED034
8680760700017,MED344
8680760700024,MED343
8680760700031,MED770
8680760700048,MED680
8680760700055,MED680
8680760700062,MED770
8680865270255,MED645
8680869372016,MED481
8680881010071,MED1043
8680881010088,MED1043
8680881011443,MED984
8680881011467,MED984
8680881020445,MED915
8680881020469,MED351
8680881020506,MED932
8680881020513,MED932
8680881020704,MED533
8680881020735,MED539
8680881023521,MED533
8680881023545,MED539
8680881023569,MED539
8680881024313,MED916
8680881027185,MED681
8680881027208,MED681
8680881029462,MED322
8680881029486,MED322
8680881040696,MED786
8680881043505,MED814
8680881090318,MED1060
8680881090493,MED414
8680881090608,MED612
8680881091506,MED985
8680881091537,MED591
8680881091551,MED985
8680881098345,MED591
8680881099625,MED322
8680881099649,MED322
8680881099892,MED462
8680881154591,MED207
8680881243875,MED928
8680885575248,MED454
8680885575262,MED454
8680952380942,MED500
8680952380966,MED522
8680952380973,MED907
8680952385749,MED499
8680952385954,MED523
8680952385961,MED523
8680955540060,MED541
8680955540077,MED541
8680972609160,MED1070
8680976003292,MED907
8681020035023,MED664
8681023750053,MED827
8681085010621,MED441
8681117650030,MED443
8681234741109,MED722
8681281000235,MED740
8681291090066,MED016
8681291090127,MED194
8681291090431,MED004
8681291090486,MED004
8681291090530,MED004
8681291090547,MED603
8681291150456,MED128
8681291340079,MED081
8681291340420,MED083
8681291540134,MED103
8681291540141,MED101
8681291540158,MED102
8681291540516,MED104
8681291570094,MED194
8681308011053,MED828
8681308011060,MED828
8681308011077,MED828
8681308050014,MED357
8681308050021,MED357
8681308071002,MED1120
8681308091000,MED201
8681308091239,MED1052
8681308091246,MED202
8681308091253,MED202
8681308091277,MED169
8681308151001,MED698
8681308281067,MED202
8681308651013,MED698
8681308701008,MED851
8681332750027,MED582
8681332750065,MED844
8681349103038,MED980
8681428010509,MED485
